rho,lmbda,n_proj,cr
0.9,13,10,0.09865
0.8,13,10,0.093285
0.7,13,10,0.05744
0.6,13,10,0.031565
0.5,13,10,0.05974
0.4,13,10,0.001215
0.3,13,10,0.00151
0.2,13,10,0.00151
0.1,13,10,0.00095
0.9,13,20,0.319795
0.8,13,20,0.15341
0.7,13,20,0.077805
0.6,13,20,0.0284
0.5,13,20,0.05137
0.4,13,20,0.01034
0.3,13,20,0.003695
0.2,13,20,0.0029
0.1,13,20,0.002085
0.9,13,30,0.35184
0.8,13,30,0.207305
0.7,13,30,0.254005
0.6,13,30,0.017055
0.5,13,30,0.01543
0.4,13,30,0.005605
0.3,13,30,0.004835
0.2,13,30,0.00387
0.1,13,30,0.003085
0.9,13,40,0.318815
0.8,13,40,0.208075
0.7,13,40,0.187715
0.6,13,40,0.10936
0.5,13,40,0.02046
0.4,13,40,0.03558
0.3,13,40,0.00698
0.2,13,40,0.004545
0.1,13,40,0.004665
0.9,13,50,0.244365
0.8,13,50,0.37884
0.7,13,50,0.275465
0.6,13,50,0.14338
0.5,13,50,0.044405
0.4,13,50,0.01596
0.3,13,50,0.008745
0.2,13,50,0.005305
0.1,13,50,0.00451
0.9,14,1,0.00064
0.8,14,1,0.00023
0.7,14,1,0.01281
0.6,14,1,0.000305
0.5,14,1,0.00066
0.4,14,1,0.00032
0.3,14,1,0.000105
0.2,14,1,8e-05
0.1,14,1,0.000155
0.9,14,10,0.293245
0.8,14,10,0.036015
0.7,14,10,0.071055
0.6,14,10,0.012175
0.5,14,10,0.00368
0.4,14,10,0.00278
0.3,14,10,0.00202
0.2,14,10,0.00107
0.1,14,10,0.00085
0.9,14,20,0.254985
0.8,14,20,0.080855
0.7,14,20,0.044535
0.6,14,20,0.00813
0.5,14,20,0.00542
0.4,14,20,0.007045
0.3,14,20,0.002235
0.2,14,20,0.002365
0.1,14,20,0.00167
0.9,14,30,0.129565
0.8,14,30,0.175425
0.7,14,30,0.072205
0.6,14,30,0.098325
0.5,14,30,0.10129
0.4,14,30,0.006265
0.3,14,30,0.005345
0.2,14,30,0.002835
0.1,14,30,0.002305
0.9,14,40,0.50856
0.8,14,40,0.30572
0.7,14,40,0.19027
0.6,14,40,0.02073
0.5,14,40,0.040165
0.4,14,40,0.023205
0.3,14,40,0.006785
0.2,14,40,0.0049
0.1,14,40,0.00404
0.9,14,50,0.37156
0.8,14,50,0.254985
0.7,14,50,0.16184
0.6,14,50,0.045575
0.5,14,50,0.022455
0.4,14,50,0.01109
0.3,14,50,0.006075
0.2,14,50,0.004915
0.1,14,50,0.004745
0.9,15,1,0.000975
0.8,15,1,0.000335
0.7,15,1,0.000385
0.6,15,1,0.000695
0.5,15,1,0.000255
0.4,15,1,0.00016
0.3,15,1,7e-05
0.2,15,1,0.0001
0.1,15,1,3.5e-05
0.9,15,10,0.088705
0.8,15,10,0.0704
0.7,15,10,0.087645
0.6,15,10,0.02772
0.5,15,10,0.00414
0.4,15,10,0.004265
0.3,15,10,0.00154
0.2,15,10,0.00098
0.1,15,10,0.00085
0.9,15,20,0.090575
0.8,15,20,0.083155
0.7,15,20,0.0349
0.6,15,20,0.093525
0.5,15,20,0.004675
0.4,15,20,0.00492
0.3,15,20,0.002075
0.2,15,20,0.00207
0.1,15,20,0.001555
0.9,15,30,0.448265
0.8,15,30,0.025265
0.7,15,30,0.069665
0.6,15,30,0.04919
0.5,15,30,0.01167
0.4,15,30,0.00611
0.3,15,30,0.00531
0.2,15,30,0.003015
0.1,15,30,0.002355
0.9,15,40,0.38035
0.8,15,40,0.165175
0.7,15,40,0.08572
0.6,15,40,0.018215
0.5,15,40,0.02344
0.4,15,40,0.00669
0.3,15,40,0.004655
0.2,15,40,0.00356
0.1,15,40,0.0034
0.9,15,50,0.432675
0.8,15,50,0.428255
0.7,15,50,0.150565
0.6,15,50,0.15369
0.5,15,50,0.1555
0.4,15,50,0.006125
0.3,15,50,0.00561
0.2,15,50,0.004075
0.1,15,50,0.003505
0.9,16,1,0.00031
0.8,16,1,0.000205
0.7,16,1,6.5e-05
0.6,16,1,0.000895
0.5,16,1,0.000125
0.4,16,1,0.00019
0.3,16,1,3.5e-05
0.2,16,1,7e-05
0.1,16,1,3.5e-05
0.9,16,10,0.146075
0.8,16,10,0.007505
0.7,16,10,0.141305
0.6,16,10,0.00212
0.5,16,10,0.006155
0.4,16,10,0.00093
0.3,16,10,0.001015
0.2,16,10,0.000545
0.1,16,10,0.0009
0.9,16,20,0.00933
0.8,16,20,0.135665
0.7,16,20,0.01079
0.6,16,20,0.010005
0.5,16,20,0.004165
0.4,16,20,0.00262
0.3,16,20,0.002065
0.2,16,20,0.001345
0.1,16,20,0.00139
0.9,16,30,0.167645
0.8,16,30,0.215875
0.7,16,30,0.01697
0.6,16,30,0.04021
0.5,16,30,0.00786
0.4,16,30,0.0037
0.3,16,30,0.002585
0.2,16,30,0.002725
