rho,lmbda,gamma,k,num_regions,trial,C_T,cr_q
0.1,5,0.00025,1,5,79,-13.524348847590835,0.186
0.1,5,0.00025,1,5,80,-13.04060047990464,0.2085
0.1,5,0.00025,1,5,81,-13.760781377100619,0.1885
0.1,5,0.00025,1,5,82,-13.691356378688088,0.183
0.1,5,0.00025,1,5,83,-12.575574528618917,0.183
0.1,5,0.00025,1,5,84,-11.998690102351505,0.1605
0.1,5,0.00025,1,5,85,-12.882285739242088,0.195
0.1,5,0.00025,1,5,86,-13.751634542128325,0.202
0.1,5,0.00025,1,5,87,-13.137551819830717,0.187
0.1,5,0.00025,1,5,88,-12.352315513138471,0.2
0.1,5,0.00025,1,5,89,-13.791413730341258,0.2145
0.1,5,0.00025,1,5,90,-13.30786775405981,0.2205
0.1,5,0.00025,1,5,91,-13.996157657203847,0.25
0.1,5,0.00025,1,5,92,-13.58152499307975,0.203
0.1,5,0.00025,1,5,93,-13.395092557206661,0.161
0.1,5,0.00025,1,5,94,-13.72793234698746,0.1875
0.1,5,0.00025,1,5,95,-13.756812827001044,0.171
0.1,5,0.00025,1,5,96,-13.172968803371228,0.2155
0.1,5,0.00025,1,5,97,-13.233573289149282,0.1585
0.1,5,0.00025,1,5,98,-13.593917791311338,0.2545
0.1,5,0.00025,1,5,99,-13.69809432934685,0.1995
0.1,5,0.00025,1,10,0,-9.243980338772989,0.214
0.1,5,0.00025,1,10,1,-9.05025326106027,0.2215
0.1,5,0.00025,1,10,2,-9.49847674283719,0.186
0.1,5,0.00025,1,10,3,-9.429677827832629,0.172
0.1,5,0.00025,1,10,4,-8.688429650535117,0.184
0.1,5,0.00025,1,10,5,-7.942435970818529,0.19
0.1,5,0.00025,1,10,6,-9.043808462624504,0.227
0.1,5,0.00025,1,10,7,-8.417023878313548,0.1865
0.1,5,0.00025,1,10,8,-8.80355006225662,0.183
0.1,5,0.00025,1,10,9,-8.609197675039225,0.17
0.1,5,0.00025,1,10,10,-9.460524840159213,0.179
0.1,5,0.00025,1,10,11,-8.791518153024922,0.155
0.1,5,0.00025,1,10,12,-8.715915050159998,0.1475
0.1,5,0.00025,1,10,13,-8.376788279174589,0.203
0.1,5,0.00025,1,10,14,-8.560547229862149,0.1785
0.1,5,0.00025,1,10,15,-9.953211402704994,0.1945
0.1,5,0.00025,1,10,16,-9.118689824810001,0.195
0.1,5,0.00025,1,10,17,-8.420663492099726,0.2185
0.1,5,0.00025,1,10,18,-9.449753200344816,0.197
0.1,5,0.00025,1,10,19,-9.347685192183778,0.187
0.1,5,0.00025,1,10,20,-7.490838608714709,0.18
0.1,5,0.00025,1,10,21,-9.166879165207762,0.2045
0.1,5,0.00025,1,10,22,-9.83784520124557,0.17
0.1,5,0.00025,1,10,23,-9.229294996580146,0.1815
0.1,5,0.00025,1,10,24,-8.880733925134837,0.1895
0.1,5,0.00025,1,10,25,-9.494271667799474,0.2015
0.1,5,0.00025,1,10,26,-9.281566982310832,0.1975
0.1,5,0.00025,1,10,27,-10.101902099801766,0.1855
0.1,5,0.00025,1,10,28,-9.157008928375301,0.2035
0.1,5,0.00025,1,10,29,-8.421756073999731,0.1755
0.1,5,0.00025,1,10,30,-8.602068829424999,0.1835
0.1,5,0.00025,1,10,31,-9.462737711789755,0.1885
0.1,5,0.00025,1,10,32,-8.519036407280312,0.1895
0.1,5,0.00025,1,10,33,-10.524216223532285,0.17
0.1,5,0.00025,1,10,34,-9.214225723314877,0.227
0.1,5,0.00025,1,10,35,-10.342068949671695,0.198
0.1,5,0.00025,1,10,36,-8.810719601541242,0.168
0.1,5,0.00025,1,10,37,-8.570212890962644,0.222
0.1,5,0.00025,1,10,38,-9.224464436959108,0.2
0.1,5,0.00025,1,10,39,-7.864802266930135,0.206
0.1,5,0.00025,1,10,40,-7.925118799637927,0.2045
0.1,5,0.00025,1,10,41,-9.057960967596339,0.244
0.1,5,0.00025,1,10,42,-9.002000066618793,0.1895
0.1,5,0.00025,1,10,43,-8.544470837596311,0.182
0.1,5,0.00025,1,10,44,-8.57589004709934,0.1815
0.1,5,0.00025,1,10,45,-9.72166779702203,0.1905
0.1,5,0.00025,1,10,46,-8.51644936349791,0.205
0.1,5,0.00025,1,10,47,-9.94380141649609,0.1845
0.1,5,0.00025,1,10,48,-7.8668101438296,0.1795
0.1,5,0.00025,1,10,49,-9.576472644605891,0.1835
0.1,5,0.00025,1,10,50,-9.224508457924678,0.2305
0.1,5,0.00025,1,10,51,-8.583851974718362,0.1765
0.1,5,0.00025,1,10,52,-9.349450361742242,0.1635
0.1,5,0.00025,1,10,53,-9.675331257053102,0.206
0.1,5,0.00025,1,10,54,-9.64831054889535,0.174
0.1,5,0.00025,1,10,55,-8.825682569708832,0.196
0.1,5,0.00025,1,10,56,-9.355535026767882,0.213
0.1,5,0.00025,1,10,57,-9.16836428093864,0.248
0.1,5,0.00025,1,10,58,-9.323357656824006,0.204
0.1,5,0.00025,1,10,59,-8.12766287461213,0.2155
0.1,5,0.00025,1,10,60,-9.359419266827876,0.1655
0.1,5,0.00025,1,10,61,-9.322859967484558,0.1855
0.1,5,0.00025,1,10,62,-8.624418084121126,0.187
0.1,5,0.00025,1,10,63,-9.107794645112525,0.1825
0.1,5,0.00025,1,10,64,-8.796383496838978,0.1845
0.1,5,0.00025,1,10,65,-9.424359781313246,0.1475
0.1,5,0.00025,1,10,66,-7.418848388561543,0.202
0.1,5,0.00025,1,10,67,-9.44775310462867,0.198
0.1,5,0.00025,1,10,68,-10.009022535606059,0.1745
0.1,5,0.00025,1,10,69,-8.721852649596906,0.2085
0.1,5,0.00025,1,10,70,-9.632379837327163,0.1805
0.1,5,0.00025,1,10,71,-9.454719767938492,0.1815
0.1,5,0.00025,1,10,72,-8.818882093655409,0.192
0.1,5,0.00025,1,10,73,-8.649701527852123,0.2145
0.1,5,0.00025,1,10,74,-9.289466718646903,0.215
0.1,5,0.00025,1,10,75,-8.782886123590185,0.1605
0.1,5,0.00025,1,10,76,-9.85158756980904,0.198
0.1,5,0.00025,1,10,77,-9.813290465881687,0.219
0.1,5,0.00025,1,10,78,-8.794432350359802,0.173
