lmbda,k,gamma,trial,model,rho,cr,C_T
5,1,0.00025,12,mixed_model,0.30000000000000004,,
5,1,0.00025,12,mixed_model,0.4,,
5,1,0.00025,12,mixed_model,0.5,,
5,1,0.00025,12,mixed_model,0.6,,
5,1,0.00025,12,mixed_model,0.7000000000000001,,
5,1,0.00025,12,mixed_model,0.8,,
5,1,0.00025,12,mixed_model,0.9,,
5,1,0.00025,12,mixture_model,0.1,,
5,1,0.00025,12,mixture_model,0.2,,
5,1,0.00025,12,mixture_model,0.30000000000000004,,
5,1,0.00025,12,mixture_model,0.4,,
5,1,0.00025,12,mixture_model,0.5,,
5,1,0.00025,12,mixture_model,0.6,,
5,1,0.00025,12,mixture_model,0.7000000000000001,,
5,1,0.00025,12,mixture_model,0.8,,
5,1,0.00025,12,mixture_model,0.9,,
5,1,0.00025,12,true_distr,0.1,0.072,2.84013198283172
5,1,0.00025,12,true_distr,0.2,0.072,2.84013198283172
5,1,0.00025,12,true_distr,0.30000000000000004,0.072,2.84013198283172
5,1,0.00025,12,true_distr,0.4,0.072,2.84013198283172
5,1,0.00025,12,true_distr,0.5,0.072,2.84013198283172
5,1,0.00025,12,true_distr,0.6,0.072,2.84013198283172
5,1,0.00025,12,true_distr,0.7000000000000001,0.072,2.84013198283172
5,1,0.00025,12,true_distr,0.8,0.072,2.84013198283172
5,1,0.00025,12,true_distr,0.9,0.072,2.84013198283172
5,1,0.00025,13,mixed_model,0.1,,
5,1,0.00025,13,mixed_model,0.2,,
5,1,0.00025,13,mixed_model,0.30000000000000004,,
5,1,0.00025,13,mixed_model,0.4,,
5,1,0.00025,13,mixed_model,0.5,,
5,1,0.00025,13,mixed_model,0.6,,
5,1,0.00025,13,mixed_model,0.7000000000000001,,
5,1,0.00025,13,mixed_model,0.8,,
5,1,0.00025,13,mixed_model,0.9,,
5,1,0.00025,13,mixture_model,0.1,,
5,1,0.00025,13,mixture_model,0.2,,
5,1,0.00025,13,mixture_model,0.30000000000000004,,
5,1,0.00025,13,mixture_model,0.4,,
5,1,0.00025,13,mixture_model,0.5,,
5,1,0.00025,13,mixture_model,0.6,,
5,1,0.00025,13,mixture_model,0.7000000000000001,,
5,1,0.00025,13,mixture_model,0.8,,
5,1,0.00025,13,mixture_model,0.9,,
5,1,0.00025,13,true_distr,0.1,0.063,2.5354677884419643
5,1,0.00025,13,true_distr,0.2,0.063,2.5354677884419643
5,1,0.00025,13,true_distr,0.30000000000000004,0.063,2.5354677884419643
5,1,0.00025,13,true_distr,0.4,0.063,2.5354677884419643
5,1,0.00025,13,true_distr,0.5,0.063,2.5354677884419643
5,1,0.00025,13,true_distr,0.6,0.063,2.5354677884419643
5,1,0.00025,13,true_distr,0.7000000000000001,0.063,2.5354677884419643
5,1,0.00025,13,true_distr,0.8,0.063,2.5354677884419643
5,1,0.00025,13,true_distr,0.9,0.063,2.5354677884419643
